dummy,DH_Type_II_Start,DH_Type_II_End,Max_Frequency,Min_Frequency,Flare_Loc,Flare_NOAA,Flare_Imp,CME_Date_Time,CME_CPA,CME_Width,CMA_Spd,Plots,Notes,,,,,,,,
0,1/28/2001 15:45,1/28/2001 17:00,14000,200,S04W59,9313,M1.5,1/28/2001 15:54,Halo,360,916,PHTX,,,,,,,,,
0,2/11/2001 1:40,2/11/2001 1:55,12000,5500,N24W57,9346,C6.5,2/11/2001 1:31,Halo,360,1183,PHTX,,,,,,,,,
0,3/10/2001 4:18,3/10/2001 4:32,14000,4000,N27W42,9368,M6.7,3/10/2001 4:26,297,81,819,PHTX,,,,,,,,,
0,3/12/2001 5:35,3/12/2001 5:45,3000,1500,BACK,-----,----,3/12/2001 5:50,233,48,829,PHTX,,,,,,,,,
0,3/27/2001 2:35,3/27/2001 3:15,6000,1000,N14E17,9393,C7.3,3/27/2001 2:06,154,60,300,PHTX,,,,,,,,,
0,3/27/2001 15:00,3/27/2001 15:20,4000,1500,N15E14,9393,C5.6,3/27/2001 17:06,46,66,340,PHTX,,,,,,,,,
0,3/29/2001 10:12,3/30/2001 6:00,4000,60,N20W19,9393,X1.7,3/29/2001 10:26,Halo,360,942,PHTX,,,,,,,,,
0,4/2/2001 11:30,4/2/2001 12:00,14000,5000,N20W70,9393,X1.1,4/2/2001 11:26,270,80,992,PHTX,,,,,,,,,
0,4/2/2001 22:05,4/3/2001 2:30,14000,250,N19W72,9393,X20.,4/2/2001 22:06,261,244,2505,PHTX,,,,,,,,,
0,4/3/2001 3:40,4/3/2001 7:25,14000,400,S21E83,9415,X1.2,4/3/2001 3:26,108,292,1613,PHTX,,,,,,,,,
0,4/4/2001 9:50,4/4/2001 10:10,13000,3000,S21E68,9415,M1.6,4/4/2001 9:50,86,89,1065,PHTX,,,,,,,,,
0,4/5/2001 9:14,4/5/2001 9:34,14000,7500,N14W85,9393,M8.4,4/5/2001 9:06,283,205,1750,PHTX,uncertain,,,,,,,,
0,4/6/2001 19:35,4/7/2001 1:50,14000,230,S21E31,9415,X5.6,4/6/2001 19:30,Halo,360,1270,PHTX,Double,type,"II,",CME-CME,interaction?,,,,
0,4/9/2001 15:53,4/10/2001 1:00,12000,100,S21W04,9415,M7.9,4/9/2001 15:54,Halo,360,1192,PHTX,,,,,,,,,
0,4/10/2001 5:24,4/11/2001 0:00,14000,100,S23W09,9415,X2.3,4/10/2001 5:30,Halo,360,2411,PHTX,,,,,,,,,
0,4/11/2001 13:15,4/11/2001 14:15,14000,1500,S22W27,9415,M2.3,4/11/2001 13:31,Halo,360,1103,PHTX,,,,,,,,,
0,4/12/2001 10:20,4/12/2001 10:40,14000,7000,S19W43,9415,X2.0,4/12/2001 10:31,Halo,360,1184,PHTX,,,,,,,,,
0,4/15/2001 14:05,4/16/2001 13:00,14000,40,S20W85,9415,X14.,4/15/2001 14:06,245,167,1199,PHTX,,,,,,,,,
0,4/18/2001 2:55,4/18/2001 14:00,1000,100,SW90b,-----,C2.2,4/18/2001 2:30,Halo,360,2465,PHTX,,,,,,,,,
0,4/26/2001 12:40,4/28/2001 5:00,5000,20,N20W05,9433,M1.5,4/26/2001 12:30,Halo,360,1006,PHTX,,,,,,,,,
0,5/7/2001 12:00,5/7/2001 13:50,2000,280,NW90b,-----,----,5/7/2001 12:06,286,205,1223,PHTX,,,,,,,,,
0,5/12/2001 23:52,5/13/2001 0:12,3000,1000,S17E00,9455,M3.0,5/13/2001 2:21,190,132,527,PHTX,,,,,,,,,
0,5/30/2001 0:25,5/30/2001 1:38,14000,1000,E90b,9481,----,5/30/2001 0:06,70,216,2087,PHTX,,,,,,,,,
0,6/15/2001 10:50,6/15/2001 11:15,7000,3000,S26E41,9502,M6.3,6/15/2001 10:31,185,119,1090,PHTX,,,,,,,,,
0,6/15/2001 16:05,6/15/2001 16:20,14000,3500,W90b,-----,----,6/15/2001 15:56,Halo,360,1701,PHTX,,,,,,,,,
0,8/16/2001 0:10,8/16/2001 16:10,5400,150,Back,-----,----,8/15/2001 23:54,Halo,360,1575,PHTX,,,,,,,,,
0,8/25/2001 16:50,8/25/2001 23:00,8000,170,S17E34,9591,X5.3,8/25/2001 16:50,Halo,360,1433,PHTX,,,,,,,,,
0,8/30/2001 20:43,8/30/2001 20:47,12000,10000,N15E44,9601,M3.0,8/30/2001 21:26,82,76,351,PHTX,,,,,,,,,
0,9/3/2001 18:48,9/3/2001 19:00,12000,7500,S23E90,9607,M2.5,9/3/2001 18:35,127,207,1352,PHTX,,,,,,,,,
0,9/15/2001 11:50,9/15/2001 12:05,14000,6000,S21W49,9608,M1.5,9/15/2001 11:54,263,130,478,PHTX,,,,,,,,,
0,9/16/2001 13:50,9/16/2001 14:10,3000,2000,S13E15,9616,C8.9,9/16/2001 14:30,131,68,584,PHTX,,,,,,,,,
0,9/17/2001 8:35,9/17/2001 8:47,14000,5400,S14E04,9616,M1.5,9/17/2001 8:54,198,166,1009,PHTX,,,,,,,,,
0,9/20/2001 18:43,9/20/2001 18:57,14000,10000,N09W11,9631,M1.5,9/20/2001 19:31,306,207,446,PHTX,,,,,,,,,
0,9/24/2001 10:45,9/25/2001 20:00,7000,30,S16E23,9632,X2.6,9/24/2001 10:30,Halo,360,2402,PHTX,,,,,,,,,
0,9/27/2001 8:15,9/28/2001 7:00,4000,80,S15W40,EP,C9.5,9/27/2001 8:06,224,138,669,PHTX,,,,,,,,,
0,10/1/2001 7:00,10/1/2001 18:30,1000,150,S24W81,9628,M9.1,10/1/2001 5:30,Halo,360,1405,PHTX,,,,,,,,,
0,10/5/2001 11:35,10/5/2001 12:55,1400,500,SW90b,-----,----,10/5/2001 10:30,Halo,360,1537,PHTX,,,,,,,,,
0,10/9/2001 11:15,10/9/2001 16:00,8000,200,S28E08,9653,M1.4,10/9/2001 11:30,Halo,360,973,PHTX,,,,,,,,,
0,10/9/2001 11:20,10/9/2001 11:55,14000,2000,S28E08,9653,----,----,----,----,----,PHTX,------,,,,,,,,
0,10/9/2001 13:10,10/9/2001 23:00,5000,50,BACK,-----,----,----,----,----,----,PHTX,Possible,HALO,,,,,,,
0,10/19/2001 1:15,10/19/2001 2:25,14000,1300,N16W18,9661,X1.6,10/19/2001 1:27,Halo,360,558,PHTX,,,,,,,,,
0,10/19/2001 16:45,10/21/2001 16:40,14000,30,N15W29,9661,X1.6,10/19/2001 16:50,Halo,360,901,PHTX,,,,,,,,,
0,10/22/2001 15:15,10/22/2001 17:40,8000,1200,S21E18,9672,M6.7,10/22/2001 15:06,Halo,360,1336,PHTX,,,,,,,,,
0,10/25/2001 15:30,10/27/2001 23:00,14000,30,S16W21,9672,X1.3,10/25/2001 15:26,Halo,360,1092,PHTX,,,,,,,,,
0,11/4/2001 16:30,11/6/2001 11:00,14000,70,N06W18,9684,X1.0,11/4/2001 16:35,Halo,360,1810,PHTX,,,,,,,,,
0,11/17/2001 5:35,11/17/2001 6:40,11000,1700,S13E42,9704,M2.8,11/17/2001 5:30,Halo,360,1379,PHTX,uncertain,,,,,,,,
0,11/22/2001 20:50,11/22/2001 22:23,8000,1000,S25W67,9698,M3.8,11/22/2001 20:30,Halo,360,1443,PHTX,,,,,,,,,
0,11/22/2001 22:40,11/24/2001 2:30,14000,40,S17W36,9704,M9.9,11/22/2001 23:30,Halo,360,1437,PHTX,,,,,,,,,
0,12/11/2001 12:45,12/11/2001 17:00,4500,750,SW90b,-----,----,12/11/2001 9:54,263,121,891,PHTX,,,,,,,,,
0,12/25/2001 11:25,12/25/2001 12:40,14000,1000,SE90b,-----,----,12/25/2001 11:30,Halo,360,1773,PHTX,,,,,,,,,
0,12/26/2001 5:20,12/27/2001 5:00,14000,150,N08W54,9742,M7.1,12/26/2001 5:30,281,>212,1446,PHTX,,,,,,,,,
0,12/28/2001 20:35,12/29/2001 3:00,14000,350,S26E90,9756,X3.4,12/28/2001 20:30,Halo,360,2216,PHTX,,,,,,,,,
0,12/29/2001 20:45,12/29/2001 21:05,3000,1500,BACK,-----,----,12/29/2001 20:30,297,>211,819,PHTX,,,,,,,,,
0,1/8/2002 18:30,1/10/2002 0:00,14000,90,NE90b,-----,----,1/8/2002 17:54,Halo,360,1794,PHTX,,,,,,,,,
0,1/14/2002 6:25,1/14/2002 21:30,12000,100,S28W83,9772,M4.4,1/14/2002 5:35,Halo,360,1492,PHTX,,,,,,,,,
0,1/27/2002 12:49,1/27/2002 13:25,14000,3000,Back?,-----,----,1/27/2002 12:30,Halo,360,1136,PHTX,,,,,,,,,
0,2/1/2002 19:23,2/1/2002 19:31,14000,11000,BACK,-----,----,2/1/2002 19:54,350,89,448,PHTX,,,,,,,,,
0,2/21/2002 12:35,2/21/2002 12:50,4000,1500,N16W79,9825,M3.9,2/21/2002 12:54,275,108,358,PHTX,,,,,,,,,
0,3/11/2002 0:00,3/11/2002 0:15,14000,8000,S11E90,9866,M2.3,3/10/2002 23:06,Halo,360,1429,PHTX,,,,,,,,,
0,3/12/2002 0:00,3/12/2002 2:20,14000,2200,S15E45,-----,M5.0,3/11/2002 23:30,Halo,360,950,PHTX,broad,feature,,,,,,,
0,3/15/2002 22:45,3/15/2002 23:30,14000,6000,S08W03,9866,M2.2,3/15/2002 23:06,Halo,360,957,PHTX,,,,,,,,,
0,3/17/2002 6:00,3/17/2002 6:35,3000,1000,S20E24,9871,C3.1,3/17/2002 4:06,141,56,658,PHTX,,,,,,,,,
0,3/18/2002 2:55,3/18/2002 5:35,14000,1000,S10W30,9873,M1.0,3/18/2002 2:54,Halo,360,989,PHTX,,,,,,,,,
0,3/22/2002 11:30,3/22/2002 12:40,14000,500,S09W90,9866,M1.6,3/22/2002 11:06,Halo,360,1750,PHTX,,,,,,,,,
0,3/22/2002 13:10,3/22/2002 13:35,3000,2000,S00W90,9866,M1.6,3/22/2002 12:30,243,120,875,PHTX,,,,,,,,,
0,4/10/2002 12:59,4/10/2002 13:02,13000,12000,N15W14,9893,M8.2,4/10/2002 13:27,340,159,650,PHTX,,,,,,,,,
0,4/14/2002 7:50,4/14/2002 8:10,14000,8000,N19W57,9893,C9.6,4/14/2002 7:50,323,76,757,PHTX,,,,,,,,,
0,4/15/2002 3:35,4/15/2002 4:15,11000,1500,S15W01,9906,M1.2,4/15/2002 3:50,Halo,360,720,PHTX,,,,,,,,,
